IPV4_SRC_ADDR,IPV4_DST_ADDR,L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,FLOW_DURATION_MILLISECONDS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,PREDICAO_CLASSE,GRAU_CONFIANCA,ROTA_SAIDA_EXIT
192.168.0.111,172.217.30.99,58190,443,17,188.0,258,252,3,3,159,0,0,0,107,131,64,64,143,52,52,143,"194,64","200,52",0,0,0,0,12900,12600,4,2,0,0,0,0,0,0,0,0,0,0,0,1781376309913,1781376310072,53,53,53,0,53,77,65,12,1,0.53082675,-1
192.168.0.111,199.232.13.91,33606,443,6,91.0,247,232,4,4,23,29,29,25,23,7,64,64,91,40,40,91,247,232,40,1,0,0,82333,77333,8,0,0,0,0,63,282,10240,40,0,0,0,0,1781376311626,1781376311650,0,23,7,10,0,6,2,2,0,0.8040759,-1
192.168.0.111,216.239.36.223,49380,443,6,91.0,52,52,1,1,30,16,16,16,0,0,0,0,52,52,52,52,52,52,0,0,0,0,13419,13419,2,0,0,0,0,67,11264,0,0,0,0,0,0,1781376312376,1781376312406,0,0,0,0,0,0,0,0,0,0.97995204,2
0.0.0.0,0.0.0.0,0,0,58,102.0,600,0,3,0,6041,0,0,0,6041,0,255,255,200,200,0,200,"200,,,200,,,200",",,,,,,,",0,0,0,0,794,0,0,3,0,0,0,0,0,34304,134,0,0,0,0,1781376307927,1781376313969,2969,3072,3020,51,0,0,0,0,1,0.54947793,-1
0.0.0.0,0.0.0.0,0,0,58,102.0,936,0,6,0,6141,0,0,0,6141,0,1,1,156,156,0,156,"156,156,,156,156,,156,156",",,,,,,,,",0,0,0,0,1219,0,0,6,0,0,0,0,0,36608,143,0,0,0,0,1781376307930,1781376314071,98,2694,1227,1152,0,0,0,0,0,0.9452371,2
192.168.0.111,181.213.132.2,1878,53,17,5.0,60,85,1,1,21,0,0,0,0,0,0,0,85,60,60,85,"60,",",,85",0,0,0,0,21818,30909,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376314995,1781376315016,0,0,0,0,0,0,0,0,1,0.89212847,2
192.168.0.111,181.213.132.2,57522,53,17,5.0,60,188,1,1,21,0,0,0,0,0,0,0,188,60,60,188,"60,",",,188",0,0,0,0,21818,68363,1,1,0,0,0,0,0,0,0,0,1,300,0,1781376314995,1781376315016,0,0,0,0,0,0,0,0,1,0.7817398,-1
192.168.0.111,181.213.132.2,12846,53,17,5.0,71,157,1,1,19,0,0,0,0,0,0,0,157,71,71,157,71,157,0,0,0,0,28400,62800,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376315060,1781376315080,0,0,0,0,0,0,0,0,1,0.9376408,2
192.168.0.111,181.213.132.2,1876,53,17,5.0,71,116,1,1,19,0,0,0,0,0,0,0,116,71,71,116,71,116,0,0,0,0,28400,46400,2,0,0,0,0,0,0,0,0,0,1,100,0,1781376315060,1781376315080,0,0,0,0,0,0,0,0,1,0.7495824,-1
192.168.0.111,181.213.132.2,38842,53,17,5.0,60,125,1,1,41,0,0,0,0,0,0,0,125,60,60,125,60,125,0,0,0,0,11428,23809,2,0,0,0,0,0,0,0,0,0,65,0,0,1781376315078,1781376315119,0,0,0,0,0,0,0,0,1,0.89730746,2
192.168.0.111,181.213.132.2,17223,53,17,5.0,60,76,1,1,43,0,0,0,0,0,0,0,76,60,60,76,60,76,0,0,0,0,10909,13818,2,0,0,0,0,0,0,0,0,0,1,60,0,1781376315078,1781376315121,0,0,0,0,0,0,0,0,1,0.62675494,-1
192.168.0.111,181.213.132.2,52319,53,17,5.0,66,164,1,1,44,0,0,0,0,0,0,0,164,66,66,164,66,164,0,0,0,0,11733,29155,1,1,0,0,0,0,0,0,0,0,65,0,0,1781376315083,1781376315128,0,0,0,0,0,0,0,0,1,0.9425814,2
192.168.0.111,181.213.132.2,8799,53,17,5.0,66,115,1,1,44,0,0,0,0,0,0,0,115,66,66,115,66,115,0,0,0,0,11733,20444,2,0,0,0,0,0,0,0,0,0,1,60,0,1781376315083,1781376315128,0,0,0,0,0,0,0,0,1,0.7223144,-1
